Game,Map,Rank,Team,Bonus,Placement,Placement Points,Elims,Total Points
1,Rondo,1,Nebula Esports,28,1,10,20,30
1,Rondo,2,Gladiators Esports,13,7,1,16,17
1,Rondo,3,IQOO Orangutan,21,13,0,5,5
1,Rondo,4,GOSOLO RAPID CHAOS ESPORTS,20,3,5,8,13
1,Rondo,5,Team Apex Gaming,30,16,0,6,6
1,Rondo,6,IQOO Reckoning Esports,13,9,0,11,11
1,Rondo,7,IQOO Team Tamilas,22,5,3,6,9
1,Rondo,8,IQOO Team Soul,28,10,0,3,3
1,Rondo,9,Genesis Esports,20,14,0,6,6
1,Rondo,10,IQOO Revenant Xspark,27,12,0,1,1
1,Rondo,11,IQOO 8Bit,34,15,0,2,2
1,Rondo,12,Elite Nova Esports,14,11,0,9,9
1,Rondo,13,7GODS ESPORTS,26,2,6,6,12
1,Rondo,14,Team Outrage,14,4,4,5,9
1,Rondo,15,Wyld Fangs,8,8,1,6,7
1,Rondo,16,IRIS MYTH,11,6,2,0,2
2,Rondo,1,Nebula Esports,28,2,6,6,12
2,Rondo,2,Gladiators Esports,13,8,1,4,5
2,Rondo,3,IQOO Orangutan,21,16,0,0,0
2,Rondo,4,GOSOLO RAPID CHAOS ESPORTS,20,11,0,5,5
2,Rondo,5,Team Apex Gaming,30,12,0,2,2
2,Rondo,6,IQOO Reckoning Esports,13,6,2,4,6
2,Rondo,7,IQOO Team Tamilas,22,10,0,8,8
2,Rondo,8,IQOO Team Soul,28,15,0,4,4
2,Rondo,9,Genesis Esports,20,3,5,2,7
2,Rondo,10,IQOO Revenant Xspark,27,1,10,10,20
2,Rondo,11,IQOO 8Bit,34,14,0,0,0
2,Rondo,12,Elite Nova Esports,14,4,4,4,8
2,Rondo,13,7GODS ESPORTS,26,5,3,8,11
2,Rondo,14,Team Outrage,14,7,1,2,3
2,Rondo,15,Wyld Fangs,8,9,0,0,0
2,Rondo,16,IRIS MYTH,11,13,0,0,0
3,Erangel,1,Nebula Esports,28,1,10,12,22
3,Erangel,2,Gladiators Esports,13,9,0,2,2
3,Erangel,3,IQOO Orangutan,21,11,0,4,4
3,Erangel,4,GOSOLO RAPID CHAOS ESPORTS,20,3,5,3,8
3,Erangel,5,Team Apex Gaming,30,7,1,4,5
3,Erangel,6,IQOO Reckoning Esports,13,5,3,0,3
3,Erangel,7,IQOO Team Tamilas,22,14,0,4,4
3,Erangel,8,IQOO Team Soul,28,10,0,3,3
3,Erangel,9,Genesis Esports,20,2,6,12,18
3,Erangel,10,IQOO Revenant Xspark,27,8,1,4,5
3,Erangel,11,IQOO 8Bit,34,16,0,0,0
3,Erangel,12,Elite Nova Esports,14,4,4,3,7
3,Erangel,13,7GODS ESPORTS,26,6,2,0,2
3,Erangel,14,Team Outrage,14,12,0,2,2
3,Erangel,15,Wyld Fangs,8,15,0,0,0
3,Erangel,16,IRIS MYTH,11,13,0,2,2
4,Erangel,1,Nebula Esports,28,16,0,4,4
4,Erangel,2,Gladiators Esports,13,6,2,3,5
4,Erangel,3,IQOO Orangutan,21,15,0,8,8
4,Erangel,4,GOSOLO RAPID CHAOS ESPORTS,20,2,6,9,15
4,Erangel,5,Team Apex Gaming,30,12,0,7,7
4,Erangel,6,IQOO Reckoning Esports,13,1,10,9,19
4,Erangel,7,IQOO Team Tamilas,22,13,0,2,2
4,Erangel,8,IQOO Team Soul,28,4,4,5,9
4,Erangel,9,Genesis Esports,20,10,0,7,7
4,Erangel,10,IQOO Revenant Xspark,27,9,0,11,11
4,Erangel,11,IQOO 8Bit,34,14,0,9,9
4,Erangel,12,Elite Nova Esports,14,5,3,9,12
4,Erangel,13,7GODS ESPORTS,26,3,5,5,10
4,Erangel,14,Team Outrage,14,8,1,5,6
4,Erangel,15,Wyld Fangs,8,11,0,8,8
4,Erangel,16,IRIS MYTH,11,7,1,4,5
5,Miramar,1,Nebula Esports,28,3,5,12,17
5,Miramar,2,Gladiators Esports,13,6,2,4,6
5,Miramar,3,IQOO Orangutan,21,1,10,13,23
5,Miramar,4,GOSOLO RAPID CHAOS ESPORTS,20,15,0,0,0
5,Miramar,5,Team Apex Gaming,30,2,6,2,8
5,Miramar,6,IQOO Reckoning Esports,13,4,4,5,9
5,Miramar,7,IQOO Team Tamilas,22,16,0,0,0
5,Miramar,8,IQOO Team Soul,28,7,1,5,6
5,Miramar,9,Genesis Esports,20,14,0,1,1
5,Miramar,10,IQOO Revenant Xspark,27,9,0,5,5
5,Miramar,11,IQOO 8Bit,34,10,0,1,1
5,Miramar,12,Elite Nova Esports,14,5,3,0,3
5,Miramar,13,7GODS ESPORTS,26,11,0,2,2
5,Miramar,14,Team Outrage,14,13,0,5,5
5,Miramar,15,Wyld Fangs,8,8,1,4,5
5,Miramar,16,IRIS MYTH,11,12,0,0,0
6,Miramar,1,Nebula Esports,28,3,5,2,7
6,Miramar,2,Gladiators Esports,13,6,2,5,7
6,Miramar,3,IQOO Orangutan,21,15,0,4,4
6,Miramar,4,GOSOLO RAPID CHAOS ESPORTS,20,11,0,3,3
6,Miramar,5,Team Apex Gaming,30,5,3,5,8
6,Miramar,6,IQOO Reckoning Esports,13,9,0,4,4
6,Miramar,7,IQOO Team Tamilas,22,1,10,6,16
6,Miramar,8,IQOO Team Soul,28,16,0,0,0
6,Miramar,9,Genesis Esports,20,8,1,1,2
6,Miramar,10,IQOO Revenant Xspark,27,10,0,5,5
6,Miramar,11,IQOO 8Bit,34,13,0,5,5
6,Miramar,12,Elite Nova Esports,14,4,4,8,12
6,Miramar,13,7GODS ESPORTS,26,14,0,0,0
6,Miramar,14,Team Outrage,14,7,1,6,7
6,Miramar,15,Wyld Fangs,8,2,6,6,12
6,Miramar,16,IRIS MYTH,11,12,0,1,1
7,Rondo,1,Nebula Esports,28,13,0,4,4
7,Rondo,2,Gladiators Esports,13,1,10,17,27
7,Rondo,3,IQOO Orangutan,21,6,2,15,17
7,Rondo,4,GOSOLO RAPID CHAOS ESPORTS,20,3,5,9,14
7,Rondo,5,Team Apex Gaming,30,10,0,3,3
7,Rondo,6,IQOO Reckoning Esports,13,2,6,7,13
7,Rondo,7,IQOO Team Tamilas,22,4,4,14,18
7,Rondo,8,IQOO Team Soul,28,9,0,4,4
7,Rondo,9,Genesis Esports,20,14,0,2,2
7,Rondo,10,IQOO Revenant Xspark,27,7,1,10,11
7,Rondo,11,IQOO 8Bit,34,16,0,0,0
7,Rondo,12,Elite Nova Esports,14,11,0,4,4
7,Rondo,13,7GODS ESPORTS,26,8,1,4,5
7,Rondo,14,Team Outrage,14,12,0,5,5
7,Rondo,15,Wyld Fangs,8,15,0,1,1
7,Rondo,16,IRIS MYTH,11,5,3,6,9
8,Rondo,1,Nebula Esports,28,1,10,11,21
8,Rondo,2,Gladiators Esports,13,4,4,1,5
8,Rondo,3,IQOO Orangutan,21,8,1,2,3
