Game,Map,Rank,Team,Placement,Placement Points,Elims,Total Points
1,Rondo,1,S2G Esports,11,0,2,2
1,Rondo,2,Nongshim Redforce,9,0,9,9
1,Rondo,3,Aurora Gaming,2,6,17,23
1,Rondo,4,eArena,5,3,7,10
1,Rondo,5,Tianba,12,0,16,16
1,Rondo,6,4thrives Esports,16,0,2,2
1,Rondo,7,Team Flash,7,1,4,5
1,Rondo,8,E Horaa Esports,10,0,6,6
1,Rondo,9,Nigma Galaxy,1,10,13,23
1,Rondo,10,FURIA Esports,3,5,2,7
1,Rondo,11,ULF Esports,15,0,4,4
1,Rondo,12,Team Vitality,13,0,3,3
1,Rondo,13,Godlike Esports,8,1,3,4
1,Rondo,14,AlUla Club Esports,4,4,7,11
1,Rondo,15,Orangutan,6,2,0,2
1,Rondo,16,IDA Esports,14,0,1,1
2,Erangel,1,S2G Esports,1,10,9,19
2,Erangel,2,Nongshim Redforce,8,1,9,10
2,Erangel,3,Aurora Gaming,15,0,1,1
2,Erangel,4,eArena,13,0,7,7
2,Erangel,5,Tianba,14,0,2,2
2,Erangel,6,4thrives Esports,4,4,8,12
2,Erangel,7,Team Flash,2,6,6,12
2,Erangel,8,E Horaa Esports,3,5,5,10
2,Erangel,9,Nigma Galaxy,5,3,0,3
2,Erangel,10,FURIA Esports,12,0,0,0
2,Erangel,11,ULF Esports,9,0,2,2
2,Erangel,12,Team Vitality,6,2,6,8
2,Erangel,13,Godlike Esports,11,0,4,4
2,Erangel,14,AlUla Club Esports,7,1,3,4
2,Erangel,15,Orangutan,16,0,1,1
2,Erangel,16,IDA Esports,10,0,0,0
3,Erangel,1,S2G Esports,14,0,2,2
3,Erangel,2,Nongshim Redforce,11,0,1,1
3,Erangel,3,Aurora Gaming,3,5,7,12
3,Erangel,4,eArena,1,10,9,19
3,Erangel,5,Tianba,4,4,9,13
3,Erangel,6,4thrives Esports,10,0,3,3
3,Erangel,7,Team Flash,6,2,4,6
3,Erangel,8,E Horaa Esports,8,1,2,3
3,Erangel,9,Nigma Galaxy,15,0,4,4
3,Erangel,10,FURIA Esports,2,6,8,14
3,Erangel,11,ULF Esports,7,1,4,5
3,Erangel,12,Team Vitality,5,3,4,7
3,Erangel,13,Godlike Esports,13,0,0,0
3,Erangel,14,AlUla Club Esports,12,0,0,0
3,Erangel,15,Orangutan,9,0,2,2
3,Erangel,16,IDA Esports,16,0,1,1
4,Erangel,1,S2G Esports,13,0,0,0
4,Erangel,2,Nongshim Redforce,12,0,1,1
4,Erangel,3,Aurora Gaming,10,0,0,0
4,Erangel,4,eArena,7,1,11,12
4,Erangel,5,Tianba,4,4,10,14
